observable,sintetico,base,Q,timestamp,AGLOSI,PROV,valor,frac
CBA,median,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,125840.0,0.02
CBT,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,317940.0,0.02
CBT,median,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,297360.0,0.02
CB_EQUIV,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,3.55,0.02
CB_EQUIV,median,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,3.3200000000000003,0.02
Indigencia,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,0.0909,0.02
Indigencia,sum,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,37200.0,0.02
P47T_hogar,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,490580.0,0.02
P47T_hogar,median,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,417900.0,0.02
P47T_hogar,q10,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,132730.0,0.02
P47T_hogar,q25,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,249490.0,0.02
P47T_hogar,q75,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,636700.0,0.02
P47T_hogar,q90,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,922800.0,0.02
P47T_persona,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,128490.0,0.02
P47T_persona,median,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,63220.0,0.02
P47T_persona,q10,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,209430.0,0.02
P47T_persona,q90,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,347590.0,0.02
Pobreza,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,0.3223,0.02
Pobreza,sum,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,131950.0,0.02
Total,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,1.0,0.02
Total,sum,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,409350.0,0.02
gap_indigencia,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,356030.0,0.02
gap_indigencia,median,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,285070.0,0.02
gap_pobreza,mean,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,172640.0,0.02
gap_pobreza,median,PAGLO,2018-05-15,2023-10-29 06:07:51.887518,True,22,114990.0,0.02
CBA,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,137830.0,0.02
CBA,median,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,128910.0,0.02
CBT,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,321150.0,0.02
CBT,median,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,300360.0,0.02
CB_EQUIV,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,3.55,0.02
CB_EQUIV,median,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,3.3200000000000003,0.02
Indigencia,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,0.1014,0.02
Indigencia,sum,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,41500.0,0.02
P47T_hogar,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,516910.0,0.02
P47T_hogar,median,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,433960.0,0.02
P47T_hogar,q10,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,126180.0,0.02
P47T_hogar,q25,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,252550.0,0.02
P47T_hogar,q75,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,672530.0,0.02
P47T_hogar,q90,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,961450.0,0.02
P47T_persona,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,136540.0,0.02
P47T_persona,median,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,63220.0,0.02
P47T_persona,q10,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,219300.0,0.02
P47T_persona,q90,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,381130.0,0.02
Pobreza,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,0.3223,0.02
Pobreza,sum,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,131950.0,0.02
Total,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,1.0,0.02
Total,sum,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,409350.0,0.02
gap_indigencia,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,379080.0,0.02
gap_indigencia,median,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,302190.0,0.02
gap_pobreza,mean,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,195760.0,0.02
gap_pobreza,median,PAGLO,2018-08-15,2023-10-29 06:15:26.523768,True,22,129400.0,0.02
CBA,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,141390.0,0.02
CBA,median,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,132240.0,0.02
CBT,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,329910.0,0.02
CBT,median,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,308560.0,0.02
CB_EQUIV,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,3.55,0.02
CB_EQUIV,median,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,3.3200000000000003,0.02
Indigencia,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,0.1121,0.02
Indigencia,sum,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,45900.0,0.02
P47T_hogar,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,426230.0,0.02
P47T_hogar,median,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,366010.0,0.02
P47T_hogar,q10,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,123310.0,0.02
P47T_hogar,q25,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,217290.0,0.02
P47T_hogar,q75,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,559670.0,0.02
P47T_hogar,q90,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,812740.0,0.02
P47T_persona,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,111270.0,0.02
P47T_persona,median,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,57660.0,0.02
P47T_persona,q10,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,178250.0,0.02
P47T_persona,q90,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,289110.0,0.02
Pobreza,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,0.4161,0.02
Pobreza,sum,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,170350.0,0.02
Total,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,1.0,0.02
Total,sum,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,409350.0,0.02
gap_indigencia,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,284840.0,0.02
gap_indigencia,median,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,225190.0,0.02
gap_pobreza,mean,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,96320.0,0.02
gap_pobreza,median,PAGLO,2018-11-15,2023-10-29 06:23:09.538111,True,22,50800.0,0.02
CBA,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,145550.0,0.02
CBA,median,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,135730.0,0.02
CBT,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,338640.0,0.02
CBT,median,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,315780.0,0.02
CB_EQUIV,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,3.657,0.02
CB_EQUIV,median,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,3.41,0.02
Indigencia,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,0.1118,0.02
Indigencia,sum,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,47200.0,0.02
P47T_hogar,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,514680.0,0.02
P47T_hogar,median,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,397070.0,0.02
P47T_hogar,q10,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,129530.0,0.02
P47T_hogar,q25,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,222860.0,0.02
P47T_hogar,q75,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,632540.0,0.02
P47T_hogar,q90,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,957480.0,0.02
P47T_persona,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,128910.0,0.02
P47T_persona,median,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,69330.0,0.02
P47T_persona,q10,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,174190.0,0.02
P47T_persona,q90,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,347590.0,0.02
Pobreza,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,0.3891,0.02
Pobreza,sum,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,164200.0,0.02
Total,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,1.0,0.02
Total,sum,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,422050.0,0.02
gap_indigencia,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,369130.0,0.02
gap_indigencia,median,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,252990.0,0.02
gap_pobreza,mean,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,176040.0,0.02
gap_pobreza,median,PAGLO,2019-02-15,2023-10-29 06:30:53.858207,True,22,65660.0,0.02
CBA,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,143090.0,0.02
CBA,median,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,133420.0,0.02
CBT,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,335770.0,0.02
CBT,median,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,313100.0,0.02
CB_EQUIV,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,3.657,0.02
CB_EQUIV,median,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,3.41,0.02
Indigencia,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,0.1058,0.02
Indigencia,sum,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,44650.0,0.02
P47T_hogar,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,460030.0,0.02
P47T_hogar,median,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,383290.0,0.02
P47T_hogar,q10,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,113770.0,0.02
P47T_hogar,q25,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,225290.0,0.02
P47T_hogar,q75,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,584940.0,0.02
P47T_hogar,q90,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,829780.0,0.02
P47T_persona,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,114860.0,0.02
P47T_persona,median,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,56350.0,0.02
P47T_persona,q10,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,191000.0,0.02
P47T_persona,q90,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,309790.0,0.02
Pobreza,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,0.3939,0.02
Pobreza,sum,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,166250.0,0.02
Total,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,1.0,0.02
Total,sum,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,422050.0,0.02
gap_indigencia,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,316950.0,0.02
gap_indigencia,median,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,246210.0,0.02
gap_pobreza,mean,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,124260.0,0.02
gap_pobreza,median,PAGLO,2019-05-15,2023-10-29 06:38:50.901895,True,22,59000.0,0.02
CBA,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,144740.0,0.02
CBA,median,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,134970.0,0.02
CBT,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,338220.0,0.02
CBT,median,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,315380.0,0.02
CB_EQUIV,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,3.657,0.02
CB_EQUIV,median,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,3.41,0.02
Indigencia,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,0.1031,0.02
Indigencia,sum,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,43500.0,0.02
P47T_hogar,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,503610.0,0.02
P47T_hogar,median,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,387050.0,0.02
P47T_hogar,q10,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,123310.0,0.02
P47T_hogar,q25,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,224410.0,0.02
P47T_hogar,q75,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,597340.0,0.02
P47T_hogar,q90,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,842550.0,0.02
P47T_persona,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,124490.0,0.02
P47T_persona,median,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,61780.0,0.02
P47T_persona,q10,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,186650.0,0.02
P47T_persona,q90,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,317000.0,0.02
Pobreza,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,0.4059,0.02
Pobreza,sum,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,171300.0,0.02
Total,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,1.0,0.02
Total,sum,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,422050.0,0.02
gap_indigencia,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,358870.0,0.02
gap_indigencia,median,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,243290.0,0.02
gap_pobreza,mean,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,165390.0,0.02
gap_pobreza,median,PAGLO,2019-08-15,2023-10-29 06:46:50.315414,True,22,65610.0,0.02
CBA,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,144910.0,0.02
CBA,median,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,135130.0,0.02
CBT,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,339080.0,0.02
CBT,median,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,316190.0,0.02
CB_EQUIV,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,3.657,0.02
CB_EQUIV,median,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,3.41,0.02
Indigencia,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,0.1659,0.02
Indigencia,sum,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,70000.0,0.02
P47T_hogar,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,436580.0,0.02
P47T_hogar,median,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,361700.0,0.02
P47T_hogar,q10,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,99590.0,0.02
P47T_hogar,q25,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,198740.0,0.02
P47T_hogar,q75,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,552570.0,0.02
P47T_hogar,q90,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,827010.0,0.02
P47T_persona,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,110420.0,0.02
P47T_persona,median,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,45790.0,0.02
P47T_persona,q10,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,174190.0,0.02
P47T_persona,q90,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,289110.0,0.02
Pobreza,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,0.4362,0.02
Pobreza,sum,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,184100.0,0.02
Total,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,1.0,0.02
Total,sum,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,422050.0,0.02
gap_indigencia,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,291670.0,0.02
gap_indigencia,median,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,212280.0,0.02
gap_pobreza,mean,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,97500.0,0.02
gap_pobreza,median,PAGLO,2019-11-15,2023-10-29 06:54:52.626902,True,22,43420.0,0.02
CBA,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,360160.0,0.02
CBA,median,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,142190.0,0.02
CBT,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,819940.0,0.02
CBT,median,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,323715.0,0.02
CB_EQUIV,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,8.853,0.02
CB_EQUIV,median,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,3.495,0.02
Indigencia,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,0.133,0.02
Indigencia,sum,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,58300.0,0.02
P47T_hogar,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,1548690.0,0.02
P47T_hogar,median,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,423790.0,0.02
P47T_hogar,q10,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,122810.0,0.02
P47T_hogar,q25,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,214310.0,0.02
P47T_hogar,q75,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,693700.0,0.02
P47T_hogar,q90,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,1012280.0,0.02
P47T_persona,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,126630.0,0.02
P47T_persona,median,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,66210.0,0.02
P47T_persona,q10,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,209430.0,0.02
P47T_persona,q90,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,372450.0,0.02
Pobreza,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,0.3739,0.02
Pobreza,sum,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,163900.0,0.02
Total,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,1.0,0.02
Total,sum,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,438400.0,0.02
gap_indigencia,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,1188530.0,0.02
gap_indigencia,median,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,277710.0,0.02
gap_pobreza,mean,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,728750.0,0.02
gap_pobreza,median,PAGLO,2020-02-15,2023-10-29 07:03:11.067410,True,22,102000.0,0.02
CBA,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,360150.0,0.02
CBA,median,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,142185.0,0.02
CBT,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,811470.0,0.02
CBT,median,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,320370.0,0.02
CB_EQUIV,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,8.853,0.02
CB_EQUIV,median,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,3.495,0.02
Indigencia,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,0.1432,0.02
Indigencia,sum,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,62800.0,0.02
P47T_hogar,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,1351160.0,0.02
P47T_hogar,median,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,320070.0,0.02
P47T_hogar,q10,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,111270.0,0.02
P47T_hogar,q25,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,195450.0,0.02
P47T_hogar,q75,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,512640.0,0.02
P47T_hogar,q90,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,791970.0,0.02
P47T_persona,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,97990.0,0.02
P47T_persona,median,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,49070.0,0.02
P47T_persona,q10,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,158860.0,0.02
P47T_persona,q90,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,251800.0,0.02
Pobreza,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,0.4827,0.02
Pobreza,sum,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,211600.0,0.02
Total,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,1.0,0.02
Total,sum,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,438400.0,0.02
gap_indigencia,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,991010.0,0.02
gap_indigencia,median,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,179870.0,0.02
gap_pobreza,mean,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,539680.0,0.02
gap_pobreza,median,PAGLO,2020-05-15,2023-10-29 07:11:27.975987,True,22,11430.0,0.02
CBA,mean,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,357710.0,0.02
CBA,median,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,141220.0,0.02
CBT,mean,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,814380.0,0.02
CBT,median,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,321520.0,0.02
CB_EQUIV,mean,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,8.853,0.02
CB_EQUIV,median,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,3.495,0.02
Indigencia,mean,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,0.099,0.02
Indigencia,sum,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,43400.0,0.02
P47T_hogar,mean,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,1392140.0,0.02
P47T_hogar,median,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,377750.0,0.02
P47T_hogar,q10,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,130130.0,0.02
P47T_hogar,q25,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,229670.0,0.02
P47T_hogar,q75,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,591690.0,0.02
P47T_hogar,q90,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,924990.0,0.02
P47T_persona,mean,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,119840.0,0.02
P47T_persona,median,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,59000.0,0.02
P47T_persona,q10,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,0.0,0.02
P47T_persona,q25,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,0.0,0.02
P47T_persona,q75,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,162560.0,0.02
P47T_persona,q90,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,302730.0,0.02
Pobreza,mean,PAGLO,2020-08-15,2023-10-29 07:19:53.253397,True,22,0.404,0.02
